source_family,style_family,length_bin,label_name,count
external_attack_pool,context_extraction,100_199,risky_prompt,33
external_attack_pool,context_extraction,200_299,risky_prompt,28
external_attack_pool,context_extraction,20_99,risky_prompt,20
external_attack_pool,context_extraction,300_399,risky_prompt,29
external_attack_pool,context_extraction,400_499,risky_prompt,6
external_attack_pool,context_extraction,500_599,risky_prompt,4
external_attack_pool,context_extraction,600_699,risky_prompt,1
external_attack_pool,jailbreak_instruction,100_199,risky_prompt,518
external_attack_pool,jailbreak_instruction,200_299,risky_prompt,300
external_attack_pool,jailbreak_instruction,20_99,risky_prompt,526
external_attack_pool,jailbreak_instruction,300_399,risky_prompt,143
external_attack_pool,jailbreak_instruction,400_499,risky_prompt,98
external_attack_pool,jailbreak_instruction,500_599,risky_prompt,60
external_attack_pool,jailbreak_instruction,600_699,risky_prompt,34
external_attack_pool,roleplay_instruction,100_199,risky_prompt,10
external_attack_pool,roleplay_instruction,200_299,risky_prompt,13
external_attack_pool,roleplay_instruction,20_99,risky_prompt,14
external_attack_pool,roleplay_instruction,300_399,risky_prompt,9
external_attack_pool,roleplay_instruction,400_499,risky_prompt,9
external_attack_pool,roleplay_instruction,500_599,risky_prompt,22
external_attack_pool,roleplay_instruction,600_699,risky_prompt,15
injection_guardrail_family,context_extraction,100_199,risky_prompt,11
injection_guardrail_family,context_extraction,200_299,risky_prompt,6
injection_guardrail_family,context_extraction,20_99,risky_prompt,3
injection_guardrail_family,context_extraction,300_399,risky_prompt,2
injection_guardrail_family,jailbreak_instruction,100_199,risky_prompt,702
injection_guardrail_family,jailbreak_instruction,200_299,risky_prompt,483
injection_guardrail_family,jailbreak_instruction,20_99,risky_prompt,147
injection_guardrail_family,jailbreak_instruction,300_399,risky_prompt,175
injection_guardrail_family,jailbreak_instruction,400_499,risky_prompt,36
injection_guardrail_family,jailbreak_instruction,500_599,risky_prompt,4
injection_guardrail_family,jailbreak_instruction,600_699,risky_prompt,1
llm_generated_pool,business_task,100_199,normal,494
llm_generated_pool,business_task,200_299,normal,501
llm_generated_pool,business_task,20_99,normal,474
llm_generated_pool,business_task,300_399,normal,494
llm_generated_pool,business_task,400_499,normal,503
llm_generated_pool,business_task,500_599,normal,505
llm_generated_pool,business_task,600_699,normal,497
llm_generated_pool,external_content_rag,100_199,normal,503
llm_generated_pool,external_content_rag,100_199,risky_prompt,473
llm_generated_pool,external_content_rag,200_299,normal,495
llm_generated_pool,external_content_rag,200_299,risky_prompt,463
llm_generated_pool,external_content_rag,20_99,normal,476
llm_generated_pool,external_content_rag,20_99,risky_prompt,484
llm_generated_pool,external_content_rag,300_399,normal,496
llm_generated_pool,external_content_rag,300_399,risky_prompt,489
llm_generated_pool,external_content_rag,400_499,normal,505
llm_generated_pool,external_content_rag,400_499,risky_prompt,477
llm_generated_pool,external_content_rag,500_599,normal,511
llm_generated_pool,external_content_rag,500_599,risky_prompt,492
