source_detail,label_name,length_bin,planned_rows
llm_v3_business_workflow_pair,normal,100_199,314
llm_v3_business_workflow_pair,normal,200_299,314
llm_v3_business_workflow_pair,normal,20_99,315
llm_v3_business_workflow_pair,normal,300_399,315
llm_v3_business_workflow_pair,normal,400_499,314
llm_v3_business_workflow_pair,normal,500_599,314
llm_v3_business_workflow_pair,normal,600_699,314
llm_v3_business_workflow_pair,risky_prompt,100_199,315
llm_v3_business_workflow_pair,risky_prompt,200_299,314
llm_v3_business_workflow_pair,risky_prompt,20_99,314
llm_v3_business_workflow_pair,risky_prompt,300_399,314
llm_v3_business_workflow_pair,risky_prompt,400_499,315
llm_v3_business_workflow_pair,risky_prompt,500_599,314
llm_v3_business_workflow_pair,risky_prompt,600_699,314
llm_v3_code_context_pair,normal,100_199,314
llm_v3_code_context_pair,normal,200_299,315
llm_v3_code_context_pair,normal,20_99,314
llm_v3_code_context_pair,normal,300_399,314
llm_v3_code_context_pair,normal,400_499,314
llm_v3_code_context_pair,normal,500_599,315
llm_v3_code_context_pair,normal,600_699,314
llm_v3_code_context_pair,risky_prompt,100_199,314
llm_v3_code_context_pair,risky_prompt,200_299,314
llm_v3_code_context_pair,risky_prompt,20_99,314
llm_v3_code_context_pair,risky_prompt,300_399,315
llm_v3_code_context_pair,risky_prompt,400_499,314
llm_v3_code_context_pair,risky_prompt,500_599,314
llm_v3_code_context_pair,risky_prompt,600_699,315
llm_v3_external_document_pair,normal,100_199,315
llm_v3_external_document_pair,normal,200_299,314
llm_v3_external_document_pair,normal,20_99,314
llm_v3_external_document_pair,normal,300_399,314
llm_v3_external_document_pair,normal,400_499,314
llm_v3_external_document_pair,normal,500_599,315
llm_v3_external_document_pair,normal,600_699,314
llm_v3_external_document_pair,risky_prompt,100_199,314
llm_v3_external_document_pair,risky_prompt,200_299,315
llm_v3_external_document_pair,risky_prompt,20_99,314
llm_v3_external_document_pair,risky_prompt,300_399,314
llm_v3_external_document_pair,risky_prompt,400_499,314
llm_v3_external_document_pair,risky_prompt,500_599,314
llm_v3_external_document_pair,risky_prompt,600_699,315
llm_v3_jailbreak_boundary_pair,normal,100_199,314
llm_v3_jailbreak_boundary_pair,normal,200_299,314
llm_v3_jailbreak_boundary_pair,normal,20_99,315
llm_v3_jailbreak_boundary_pair,normal,300_399,314
llm_v3_jailbreak_boundary_pair,normal,400_499,315
llm_v3_jailbreak_boundary_pair,normal,500_599,314
llm_v3_jailbreak_boundary_pair,normal,600_699,314
llm_v3_jailbreak_boundary_pair,risky_prompt,100_199,315
llm_v3_jailbreak_boundary_pair,risky_prompt,200_299,314
llm_v3_jailbreak_boundary_pair,risky_prompt,20_99,314
llm_v3_jailbreak_boundary_pair,risky_prompt,300_399,314
llm_v3_jailbreak_boundary_pair,risky_prompt,400_499,314
llm_v3_jailbreak_boundary_pair,risky_prompt,500_599,315
llm_v3_jailbreak_boundary_pair,risky_prompt,600_699,314
llm_v3_privacy_context_pair,normal,100_199,314
llm_v3_privacy_context_pair,normal,200_299,315
llm_v3_privacy_context_pair,normal,20_99,314
llm_v3_privacy_context_pair,normal,300_399,314
llm_v3_privacy_context_pair,normal,400_499,314
llm_v3_privacy_context_pair,normal,500_599,315
llm_v3_privacy_context_pair,normal,600_699,314
llm_v3_privacy_context_pair,risky_prompt,100_199,314
llm_v3_privacy_context_pair,risky_prompt,200_299,314
llm_v3_privacy_context_pair,risky_prompt,20_99,314
llm_v3_privacy_context_pair,risky_prompt,300_399,315
llm_v3_privacy_context_pair,risky_prompt,400_499,314
llm_v3_privacy_context_pair,risky_prompt,500_599,314
llm_v3_privacy_context_pair,risky_prompt,600_699,315
llm_v3_rag_boundary_pair,normal,100_199,314
llm_v3_rag_boundary_pair,normal,200_299,314
llm_v3_rag_boundary_pair,normal,20_99,315
llm_v3_rag_boundary_pair,normal,300_399,315
llm_v3_rag_boundary_pair,normal,400_499,314
llm_v3_rag_boundary_pair,normal,500_599,314
llm_v3_rag_boundary_pair,normal,600_699,314
llm_v3_rag_boundary_pair,risky_prompt,100_199,315
llm_v3_rag_boundary_pair,risky_prompt,200_299,314
llm_v3_rag_boundary_pair,risky_prompt,20_99,314
llm_v3_rag_boundary_pair,risky_prompt,300_399,314
llm_v3_rag_boundary_pair,risky_prompt,400_499,315
llm_v3_rag_boundary_pair,risky_prompt,500_599,314
llm_v3_rag_boundary_pair,risky_prompt,600_699,314
llm_v3_short_instruction_pair,normal,100_199,314
llm_v3_short_instruction_pair,normal,200_299,314
llm_v3_short_instruction_pair,normal,20_99,314
llm_v3_short_instruction_pair,normal,300_399,315
llm_v3_short_instruction_pair,normal,400_499,314
llm_v3_short_instruction_pair,normal,500_599,314
llm_v3_short_instruction_pair,normal,600_699,315
llm_v3_short_instruction_pair,risky_prompt,100_199,314
llm_v3_short_instruction_pair,risky_prompt,200_299,314
llm_v3_short_instruction_pair,risky_prompt,20_99,315
llm_v3_short_instruction_pair,risky_prompt,300_399,314
llm_v3_short_instruction_pair,risky_prompt,400_499,315
llm_v3_short_instruction_pair,risky_prompt,500_599,314
llm_v3_short_instruction_pair,risky_prompt,600_699,314
llm_v3_sns_safety_pair,normal,100_199,315
llm_v3_sns_safety_pair,normal,200_299,314
llm_v3_sns_safety_pair,normal,20_99,314
