source_detail,label_name,length_bin,planned_rows
llm_v4_cleaned_blind_boundary_pair,normal,20_99,12
llm_v4_cleaned_blind_boundary_pair,risky_prompt,100_199,12
llm_v4_context_extraction_pair,normal,20_99,11
llm_v4_context_extraction_pair,risky_prompt,100_199,11
llm_v4_external_doc_boundary_pair,normal,20_99,12
llm_v4_external_doc_boundary_pair,risky_prompt,100_199,12
llm_v4_natural_boundary_pair,normal,20_99,12
llm_v4_natural_boundary_pair,risky_prompt,100_199,12
llm_v4_privacy_safe_boundary_pair,normal,100_199,1
llm_v4_privacy_safe_boundary_pair,normal,20_99,11
llm_v4_privacy_safe_boundary_pair,risky_prompt,100_199,12
llm_v4_short_attack_boundary_pair,normal,20_99,12
llm_v4_short_attack_boundary_pair,risky_prompt,100_199,12
llm_v4_spml_style_boundary_pair,normal,20_99,12
llm_v4_spml_style_boundary_pair,risky_prompt,100_199,12
llm_v4_tool_rag_boundary_pair,normal,100_199,1
llm_v4_tool_rag_boundary_pair,normal,20_99,11
llm_v4_tool_rag_boundary_pair,risky_prompt,100_199,12
llm_v4_translation_boundary_pair,normal,20_99,11
llm_v4_translation_boundary_pair,risky_prompt,100_199,11
