label_name,source_detail,count,pct_within_label
normal,CarrotAI/ko-instruction-dataset,4779,19.12
normal,iknow-lab/ko-evol-writing-wiki,2122,8.49
normal,llm_generated_hn_filter,2000,8.0
normal,llm_generated_hn_marketing,1949,7.8
normal,llm_generated_hn_privacy,2352,9.41
normal,llm_generated_hn_rag,1964,7.86
normal,llm_generated_hn_security,2313,9.25
normal,llm_generated_hn_tool,2000,8.0
normal,normal_koalpaca_realqa,2201,8.8
normal,normal_koalpaca_v11,3320,13.28
risky_prompt,ALERT,982,3.93
risky_prompt,CarrotAI/ko-instruction-dataset,28,0.11
risky_prompt,Evolve-instruct,358,1.43
risky_prompt,Gandalf-Ignore,50,0.2
risky_prompt,JailBreakV-28k,142,0.57
risky_prompt,RedBench,89,0.36
risky_prompt,ToxicChat,1,0.0
risky_prompt,WildGuardMix,411,1.64
risky_prompt,WildJailbreak,226,0.9
risky_prompt,beomi/KoAlpaca-RealQA,333,1.33
risky_prompt,beomi/KoAlpaca-v1.1a,850,3.4
risky_prompt,deepset-prompt-injections,11,0.04
risky_prompt,injection_guardrail,4500,18.0
risky_prompt,jayavibhav-PI,1672,6.69
risky_prompt,ko-evol-writing,33,0.13
risky_prompt,llm_generated_context_attack,1632,6.53
risky_prompt,llm_generated_diverse_attack,4057,16.23
risky_prompt,llm_generated_extra_attack,208,0.83
risky_prompt,llm_generated_fn_hard_positive,496,1.98
risky_prompt,llm_generated_policy_evasion,1195,4.78
risky_prompt,llm_generated_rag_attack,2835,11.34
risky_prompt,llm_generated_template_attack,961,3.84
risky_prompt,llm_generated_tool_attack,2010,8.04
risky_prompt,neuralchemy__Prompt-injection-dataset,711,2.84
risky_prompt,reshabhs__SPML_Chatbot_Prompt_Injection,145,0.58
risky_prompt,safe-guard-PI,114,0.46
risky_prompt,synthetic_broad_hard_negative/ai_safety_policy_explanation,48,0.19
risky_prompt,synthetic_broad_hard_negative/fiction_ethics_analysis,48,0.19
risky_prompt,synthetic_broad_hard_negative/harm_prevention_campaign,43,0.17
risky_prompt,synthetic_broad_hard_negative/legal_privacy_support,41,0.16
risky_prompt,synthetic_broad_hard_negative/security_response_education,49,0.2
risky_prompt,synthetic_broad_hard_negative/system_requirements_doc,54,0.22
risky_prompt,synthetic_broad_hard_positive/multi_intent_injection,118,0.47
risky_prompt,synthetic_broad_hard_positive/natural_policy_evasion,119,0.48
risky_prompt,synthetic_broad_hard_positive/short_unsafe_request,134,0.54
risky_prompt,synthetic_broad_hard_positive/subtle_indirect_injection,112,0.45
risky_prompt,synthetic_broad_hard_positive/weak_signal_instruction_leak,121,0.48
risky_prompt,synthetic_direct_byClaude_console,63,0.25
