source_detail,label_name,length_bin,planned_rows
llm_v6_boundary_guard_pair,normal,100_199,7
llm_v6_boundary_guard_pair,normal,20_99,3
llm_v6_boundary_guard_pair,risky_prompt,100_199,6
llm_v6_boundary_guard_pair,risky_prompt,20_99,4
llm_v6_length_balance_pair,normal,100_199,7
llm_v6_length_balance_pair,normal,20_99,4
llm_v6_length_balance_pair,risky_prompt,100_199,7
llm_v6_length_balance_pair,risky_prompt,20_99,4
llm_v6_low_margin_pair,normal,100_199,7
llm_v6_low_margin_pair,normal,20_99,4
llm_v6_low_margin_pair,risky_prompt,100_199,7
llm_v6_low_margin_pair,risky_prompt,20_99,3
llm_v6_residual_shortcut_pair,normal,100_199,6
llm_v6_residual_shortcut_pair,normal,20_99,4
llm_v6_residual_shortcut_pair,risky_prompt,100_199,8
llm_v6_residual_shortcut_pair,risky_prompt,20_99,3
llm_v6_style_length_counterpair,normal,100_199,7
llm_v6_style_length_counterpair,normal,20_99,3
llm_v6_style_length_counterpair,risky_prompt,100_199,6
llm_v6_style_length_counterpair,risky_prompt,20_99,4
